id,bezirk,erstellungsdatum,erstellungszeit,x_coord,y_coord,sonstiges,hausnummer,strasse,bezirk_spez,ort,bundesland,plz,land
1,Kirchhellen,2025-08-03,16:47:19,6.9392805,51.5444527,Benjamin Bleske,54, Liebrechtstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
2,Kirchhellen,2025-08-03,16:47:29,6.9385505,51.5435905,Benjamin Bleske,44a, Liebrechtstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
3,Kirchhellen,2025-08-03,16:47:37,6.9409761,51.5433807,Benjamin Bleske,29, Ernst-Ender-Straße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
4,Kirchhellen,2025-08-03,16:47:43,6.9435558,51.544693,Benjamin Bleske,48, Ernst-Ender-Straße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
5,Kirchhellen,2025-08-03,16:47:48,6.9454107,51.5478783,Benjamin Bleske,48, Rheinbabenstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
6,Kirchhellen,2025-08-03,16:47:53,6.9475856,51.5476646,Benjamin Bleske,69, Rheinbabenstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
7,Kirchhellen,2025-08-03,16:48:05,6.9473724,51.5453949,Benjamin Bleske,10a, Velsenstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
8,Kirchhellen,2025-08-03,16:48:12,6.9453807,51.5440025,Benjamin Bleske,2a, Velsenstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
9,Kirchhellen,2025-08-03,16:48:22,6.9451604,51.5435486,Benjamin Bleske,165, Aegidistraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
10,Kirchhellen,2025-08-03,16:48:28,6.9479256,51.5409012,Benjamin Bleske,126, Aegidistraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
11,Kirchhellen,2025-08-03,16:48:35,6.9500833,51.539959,Benjamin Bleske,4, Fischedickstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
12,Kirchhellen,2025-08-03,16:48:42,6.9557252,51.5403366,Benjamin Bleske,314b, Scharnhölzstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
13,Kirchhellen,2025-08-03,16:49:11,6.9559517,51.5410309,Benjamin Bleske,138, Rheinbabenstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
14,Kirchhellen,2025-08-03,16:49:15,6.9547191,51.5408897,Benjamin Bleske,72, Fischedickstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
15,Kirchhellen,2025-08-03,16:49:20,6.952682,51.5427055,Benjamin Bleske,22, Maybachweg, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
16,Kirchhellen,2025-08-03,16:49:24,6.9534574,51.5410652,Benjamin Bleske,3b, Maybachweg, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
17,Kirchhellen,2025-08-03,16:49:31,6.9536657,51.5431786,Benjamin Bleske,96, Rheinbabenstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
18,Kirchhellen,2025-08-03,16:49:40,6.9549789,51.5402412,Benjamin Bleske,2, Maybachweg, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
19,Kirchhellen,2025-08-03,16:49:45,6.9544511,51.5395737,Benjamin Bleske,300, Scharnhölzstraße, Eigen, Bottrop, Nordrhein-Westfalen, 46240, Deutschland
